CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
312,Guadeloupe,...,...,...,...,...,...,...,...,...,216.6999969,...,...,...,...,...,181.0910034,227.3130035,273.5339966,239.2409973,204.947998,221.1990051,237.4490051,250.2929993,263.1359863,238.4360046,213.7359924,...,...,,,,,,,,,,,,,,,,,6,,6,,6,,6,,6,,,
340,Honduras,378.1783142,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,940.7504272,...,...,670.222229,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,...,...,...,...,...,4752,4834,5016,4976,4943,4552,4603,4646,4700,4592,4646,4711,4594,4553,4312,4033,3809,3988,3738,3795,3712,3721,3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,114,117,120,123,126,130,133,137,140,147,153,171,174,208,132,154,158,164,167,175,195,220,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Indonesia,2477.152832,...,...,...,...,4647.267578,4997.14209,4835.257324,4345.135254,4609.424316,4778.842773,4726.107422,4859.609863,5470.788086,6044.449707,5874.681152,5256.520508,7576.771973,...,6866.197266,7245.246094,7742.342773,7650.38916,6002.82959,5842.428223,6026.797852,9236.850586,9536.610352,"21,22",,,,,"21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22",,"21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22","21,22"
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5446,...,...,...,...,17551,13236,13113,12778,12301,14349,14546,20373,,,,,,,,,,,,,,,,23,,,,,,24,,,,25,26,27
372,Ireland,...,...,...,...,...,1848,1898,2000,2057,2168,2279,2704,2720,2918,3001,3041,3385,3398,3224,2953,2846,2823,2693,...,2619,...,2763,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Israel,...,...,...,...,...,...,...,...,...,...,3967.580078,3590.480957,3855.364014,3846.938965,3978,4086,4227,4304,4434,4550.799805,4623.180176,4745.799805,4837.399902,4906.600098,4999.5,5126.200195,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,...,...,...,...,...,25780,25960,26605,26846,28364,28959,29409,29864,30035,31150,31668,32516,32536,32461,32107,32440,31386,29994,29573,29652,29524,30112,29583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,...,...,...,...,...,...,...,945,...,953,955,962,965,970,1464,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
