Country_Mapping,Country_Final,Country_ID_Final,2017_Population_World_Bank,2017_Land_Area_km_2,2017_GDP_US_Dollars_World_Bank,World_Bank_Notes,Other_Notes
St. Pierre-Miquelon,St. Pierre-Miquelon,186,5997,242,199764000,"Wikipedia, 2017. GDP 2004 Estimate from Wikipedia. Part of France",
State of Palestine,State of Palestine,208,5159076,6020,14616000000,"Wikipedia, 2020. GDP 2018 from Wikipedia.",
Sudan,Sudan,209,40813398,1849238.953,41283617976.1905,,
Suriname,Suriname,210,570501,156000,3591623596.03082,,
Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands,999,,,,,"Excluded, separate information from Norway only exists for a few variables."
Swaziland,Swaziland,71,1124808,17200,4402969225.92165,,Same as Eswatini. Agricultural Data listed as Swaziland
Sweden,Sweden,213,10057698,407310,541018749769.097,,
Switzerland,Switzerland,214,8451840,39516.03,704478516963.855,,
Syrian Arab Republic,Syrian Arab Republic,215,17095669,183630,16112991411.879,,
Tajikistan,Tajikistan,216,8880270,138790,7536439875.08334,,
Thailand,Thailand,217,69209817,510890,456356961443.497,,
Timor-Leste,Timor-Leste,218,1243260,14870,1615609700,,
Togo,Togo,219,7698476,54390,6395472574.41445,,
Tokelau,Tokelau,220,1499,10,9406225,"Wikipedia, 2016. Associated with New Zealand",
Tonga,Tonga,221,102002,720,460379144.989821,,
Trinidad and Tobago,Trinidad and Tobago,222,1384060,5130,22385426653.883,,
Tunisia,Tunisia,223,11433438,155360,42163974956.4834,,
Turkey,Turkey,224,81116451,769630,858996263095.858,,
Turkmenistan,Turkmenistan,225,5757667,469930,37926285714.2857,,
Turks and Caicos Islands,Turks and Caicos Islands,226,37116,950,1022365000,,
Tuvalu,Tuvalu,227,11365,30,40619251.9926426,,
Uganda,Uganda,228,41166588,200520,30744473911.5312,,
Ukraine,Ukraine,229,44831135,579300,112090530368.543,,
United Arab Emirates,United Arab Emirates,230,9487206,71020,385605506848.196,,
United Kingdom of Great Britain and Northern Ireland,United Kingdom,231,66058859,241930,2699016715111.39,,
United Republic of Tanzania,Tanzania,232,54660345,885800,53320625958.5628,,
United Republic of Tanzania: Mainland,United Republic of Tanzania: Mainland,999,,,,,"Excluded, breakdown only exists for one variable of interest"
United Republic of Tanzania: Zanzibar,United Republic of Tanzania: Zanzibar,999,,,,,"Excluded, breakdown only exists for one variable of interest"
United States of America,United States of America,233,325122128,9147420,19542979183000,,
United States Virgin Islands,United States Virgin Islands,234,107281,350,3794000000,,
