Country ID,Country,"Time Series - Total CH4 Emissions, in 1000 tonnes of CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH4 emissions, latest year",% change since 1990,"CH4 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
320,Guatemala,"4,087.86",...,...,...,"3,846.15",...,...,...,...,...,"4,086.85",...,...,...,...,"5,235.51",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,5235.51,28.07,0.400
324,Guinea,...,...,...,...,"3,249.52",...,...,...,...,...,"7,623.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,7623.00,...,0.925
624,Guinea-Bissau,...,...,...,...,668.68,...,...,...,...,...,...,...,...,...,...,...,"1,219.68",...,...,...,"3,450.22",...,...,...,...,...,...,...,...,2010,3450.22,...,2.266
328,Guyana,891.03,901.53,907.83,922.53,925.26,873.60,933.03,969.36,904.26,"1,040.13",918.96,973.14,771.12,"1,027.53",995.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,995.61,11.74,1.335
332,Haiti,...,...,...,...,"2,739.87","3,064.74","3,630.69","3,649.59","3,628.59","3,674.16","3,669.96",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3669.96,...,0.434
340,Honduras,...,...,...,...,...,"5,762.23",...,...,...,...,"3,847.85",...,...,...,...,"4,149.60",...,...,...,...,...,...,...,...,...,"3,705.45",...,...,...,2015,3705.45,...,0.407
348,Hungary,468.87,458.12,406.09,384.14,365.35,343.90,346.42,340.81,336.00,338.60,342.65,338.02,336.03,342.85,328.73,320.47,314.58,312.76,306.93,308.41,308.54,305.22,307.21,300.46,293.19,294.11,292.11,294.98,290.88,2018,290.88,-37.96,0.030
352,Iceland,24.42,24.32,24.74,25.41,25.78,25.85,26.68,26.88,26.91,27.23,27.21,27.67,27.93,27.54,27.40,26.90,28.35,28.61,28.06,27.70,27.27,26.41,25.34,25.54,26.02,26.26,25.92,25.48,25.20,2018,25.20,3.18,0.075
356,India,...,...,...,...,"3,79,596.00",...,...,...,...,...,"4,07,238.30",...,...,...,...,...,...,...,...,...,"4,12,086.36",...,...,...,...,...,...,...,...,2010,412086.36,...,0.334
360,Indonesia,"1,06,113.00","1,19,536.20","1,22,351.04","1,24,257.84","1,26,882.00",...,...,...,...,...,"2,36,331.90",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,236331.90,122.72,1.117
364,Iran (Islamic Republic of),...,...,...,...,"53,144.39",...,...,...,...,...,"75,713.82",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,75713.82,...,1.154
368,Iraq,...,...,...,...,...,...,...,"6,699.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,6699.00,...,0.312
372,Ireland,590.43,597.62,602.12,602.76,599.52,600.02,609.57,608.34,617.45,597.33,573.53,574.55,570.60,594.63,556.19,543.27,541.78,515.18,507.06,492.90,482.80,481.50,493.48,506.91,518.67,531.61,547.15,559.68,559.40,2018,559.40,-5.26,0.116
376,Israel,...,...,...,...,...,...,"3,522.91",...,...,...,"3,888.33",...,...,"4,966.04","5,244.15","5,529.92","5,819.52","6,045.47","6,266.96","6,388.36","6,714.75","6,727.10","6,934.66","6,963.98","7,094.80","7,109.29","7,253.92","7,307.25","7,380.90",2018,7380.90,...,0.881
380,Italy,"1,929.90","1,965.06","1,959.08","1,971.34","1,988.34","2,013.03","2,032.67","2,054.56","2,035.22","2,034.16","2,030.65","2,034.75","1,969.60","1,977.85","1,913.15","1,933.13","1,882.59","1,910.54","1,893.11","1,891.69","1,879.20","1,822.78","1,846.73","1,790.83","1,756.19","1,755.34","1,735.97","1,746.32","1,721.31",2018,1721.31,-10.81,0.028
