Country ID,Country,"Time Series - SO2 total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SO2 emissions, latest year",% change since 1990,"SO2 emissions per capita, latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t
516,Namibia,...,...,...,...,...,...,...,...,...,...,10.90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 10.90 ,..., 6.07 
520,Nauru,...,...,...,...,...,...,...,...,...,...,0.05,...,...,0.03,...,...,...,0.02,...,...,0.18,...,...,...,...,...,...,...,...,2010, 0.18 ,..., 18.39 
524,Nepal,...,...,...,...,...,...,...,...,...,...,76.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 76.00 ,..., 3.17 
528,Netherlands,187.18,108.09,105.11,102.34,97.79,125.69,18.92,12.07,92.56,86.00,70.59,72.26,65.70,61.26,63.95,62.40,62.65,59.49,50.20,36.92,33.78,33.76,33.95,29.65,29.22,30.36,27.48,26.08,24.51,2018, 24.51 ,-86.91, 1.44 
554,New Zealand,57.06,55.25,60.16,58.54,59.27,62.17,60.87,61.81,61.87,66.25,70.61,74.80,76.39,89.97,86.90,93.43,89.66,81.99,87.28,74.33,73.49,74.07,78.62,75.51,73.57,75.76,69.35,73.67,71.35,2018, 71.35 ,25.05, 15.04 
558,Nicaragua,...,...,...,...,4.59,...,...,...,...,...,0.19,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.19 ,..., 0.04 
562,Niger,...,...,...,...,...,...,...,...,...,...,"2,140.00",...,...,...,...,...,...,...,"1,929.00",...,...,...,...,...,...,...,...,...,...,2008," 1,929.00 ",..., 126.48 
566,Nigeria,...,...,...,...,...,...,...,...,...,...,190.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 190.00 ,..., 1.55 
570,Niue,...,...,...,...,2.21,...,...,...,...,...,...,...,...,...,...,0.00,0.00,0.00,0.00,0.00,...,...,...,...,...,...,...,...,...,2009, 0.00 ,..., 0.06 
807,North Macedonia,2.98,2.70,2.38,1.91,1.68,1.99,2.71,2.79,2.90,2.23,2.82,2.53,2.65,255.76,229.61,246.81,257.66,196.07,208.99,205.83,...,...,...,...,...,...,...,...,...,2009, 205.83 ,6799.91, 99.48 
578,Norway,49.73,42.48,37.00,35.55,35.30,34.67,33.74,31.28,30.07,29.46,27.12,25.52,23.09,23.20,24.78,23.29,21.49,19.72,19.96,14.90,18.88,18.78,17.13,17.48,17.43,17.02,15.88,15.36,16.28,2018, 16.28 ,-67.26, 3.05 
512,Oman,...,...,...,...,3.38,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 3.38 ,..., 1.57 
585,Palau,...,...,...,...,...,...,...,...,...,...,0.00,...,...,...,...,0.01,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 0.01 ,..., 0.38 
