"Country_ID","Country","agricultural_area_2013","percent_land_agricultural_2013","arable_land_2013","permanent_crops_2013","permanent_meadows_pastures_2013","nitrogen_consumption","phosphate_consumption","potash_consumption","terrestrial_protected_areas"
554,"New Zealand","  111 060","42.2","  5 470","   710","  104 880"," 41.17",27.67,8.93,"32.5"
558,"Nicaragua","  50 650","42.1","  15 040","  2 860","  32 750"," 7.16",2.39,0.66,"37.2"
562,"Niger","  447 820","35.4","  159 000","  1 000","  287 820"," 0.16",0.05,0.03,"17.3"
566,"Nigeria","  708 000","77.7","  340 000","  65 000","  303 000"," 6.66",1.13,0.75,"13.9"
1023,"Niue","   50","19.2","   10","   30","   10",NA,NA,NA,NA
1013,"Norfolk Island","   10","25.0","...","...","   10",NA,NA,NA,NA
580,"Northern Mariana Islands","   30","6.5","   10","   10","   10",NA,NA,NA,"7.7"
578,"Norway","  9 872","2.7","  8 063","   45","  1 764"," 96.74",19.1,39.68,"17.1"
512,"Oman","  14 685","4.7","   460","   660","  1 500"," 18.15",1,3.64,"2.6"
586,"Pakistan","  362 800","47.1","   377","   308","  14 000"," 89.17",23.88,0.55,"12.3"
585,"Palau","   50","10.9","  304 700","  8 100","  50 000",NA,NA,NA,"28"
591,"Panama","  22 570","30.4","   10","   20","   20"," 11.59",5.6,3.43,"20.9"
598,"Papua New Guinea","  11 900","2.6","  5 630","  1 850","  15 090"," 13.37",0.1,10.54,"3.1"
600,"Paraguay","  215 850","54.3","  3 000","  7 000","  1 900"," 5.26",8.28,6.67,"14.3"
604,"Peru","  243 340","19.0","  45 000","   850","  170 000"," 10.92",4.05,2.96,"21.3"
608,"Philippines","  124 400","41.7","  41 550","  13 790","  188 000"," 23.09",5.84,3.2,"15.3"
616,"Poland","  144 100","47.1","  55 900","  53 500","  15 000"," 94.93",22.7,33.65,"39.7"
620,"Portugal","  36 420","39.8","  107 920","  4 120","  32 060"," 25.24",10.99,9.84,"22.9"
630,"Puerto Rico","  1 977","22.3","  11 160","  7 090","  18 170",NA,NA,NA,"7.3"
634,"Qatar","   676","5.8","   610","   500","   867","1 421.98",0,17.75,"13.2"
410,"Republic of Korea","  17 687","18.1","   141","   35","   500"," 134.71",85.26,85.56,"11.7"
498,"Republic of Moldova","  24 610","74.8","  14 958","  2 152","   577"," 13.82",3.37,1.02,"4.2"
1014,"Réunion","   498","19.8","  18 160","  2 950","  3 500",NA,NA,NA,NA
642,"Romania","  139 050","60.4","   357","   29","   112"," 24.77",8.19,2.41,"24.5"
643,"Russian Federation"," 2 168 400","13.2","  87 460","  4 420","  47 170"," 5.38",2.02,1.18,"9.7"
646,"Rwanda","  18 425","74.7"," 1 222 400","  16 000","  930 000"," 3.64",2.33,0,"9.1"
1015,"Saint Helena","   120","30.8","  11 825","  2 500","  4 100",NA,NA,NA,NA
659,"Saint Kitts and Nevis","   60","23.1","   40","...","   80"," 2.67",2.33,2.33,"3.3"
662,"Saint Lucia","   106","17.4","   50","   1","   9"," 11.60",16.89,19.91,"18.7"
