"Country_ID","Country","CH4_latest_year","CH4","CH4_change_1990","CH4_per_capita","CO2_latest_year","CO2","CO2_change_1990","CO2_per_capita","GHG_latest_year","GHG","GHG_change_1990","GHG_per_capita","N2O_latest_year","N2O","N2O_change_1990","N2O_per_capita","NOx_latest_year","NOx","NOx_change_1990","NOx_per_capita","SO2_latest_year","SO2","SO2_change_1990","SO2_per_capita"
340,"Honduras","2015","3705.45","...","0.407","2015","9902.61","...","1.09","2015","15977.15","...","1.75","2015","1,685.16","...","0.185","2000","33.22","...","5.05","2000"," 0.38 ","..."," 0.06 "
348,"Hungary","2018","290.88","-37.96","0.030","2018","49628.49","-32.45","5.11","2018","63219.56","-32.71","6.51","2018","16.30","-41.99","0.002","2018","119.14","-51.39","12.27","2018"," 23.04 ","-97.22"," 2.37 "
352,"Iceland","2018","25.20","3.18","0.075","2018","3674.53","63.47","10.91","2018","4856.95","30.11","14.42","2018","1.03","-19.27","0.003","2018","21.90","-29.10","65.05","2018"," 54.71 ","127.66"," 162.47 "
356,"India","2010","412086.36","...","0.334","2010","1574362.16","...","1.28","2010","2100849.73","...","1.70","2010","1,14,365.20","...","0.093",NA,NA,NA,NA,NA,NA,NA,NA
360,"Indonesia","2000","236331.90","122.72","1.117","2000","289527.15","102.91","1.37","2000","554333.48","107.76","2.62","2000","28,474.43","58.04","0.135","2000","84.67","386.33","0.40",NA,NA,NA,NA
364,"Iran (Islamic Republic of)","2000","75713.82","...","1.154","2000","365908.35","...","5.58","2000","483669.17","...","7.37","2000","40,145.00","...","0.612","2000","600.76","...","9.15","2000"," 139.46 ","..."," 2.13 "
368,"Iraq","1997","6699.00","...","0.312","1997","60379.00","...","2.82","1997","72658.00","...","3.39","1997","5,580.00","...","0.260",NA,NA,NA,NA,"1997"," 3,909.00 ","..."," 182.33 "
372,"Ireland","2018","559.40","-5.26","0.116","2018","38803.39","17.78","8.05","2018","60934.54","9.85","12.65","2018","23.33","-10.03","0.005","2018","108.51","-37.18","22.52","2018"," 12.17 ","-93.35"," 2.52 "
376,"Israel","2018","7380.90","...","0.881","2018","64804.64","...","7.73","2018","78697.77","...","9.39","2018","1,936.90","...","0.231","2018","94.68","...","11.30","2018"," 56.20 ","..."," 6.71 "
380,"Italy","2018","1721.31","-10.81","0.028","2018","348085.03","-20.53","5.74","2018","427529.02","-17.15","7.05","2018","59.38","-32.04","0.001","2018","672.30","-68.39","11.09","2018"," 110.45 ","-93.81"," 1.82 "
388,"Jamaica","2012","852.18","...","0.300","2012","7383.89","...","2.60","2012","14918.49","...","5.25","2012","6,590.60","...","2.319","2012","43.97","...","15.47","2012"," 15.99 ","..."," 5.63 "
392,"Japan","2018","1194.20","-32.79","0.009","2018","1135688.00","-1.96","8.93","2018","1238342.71","-2.50","9.74","2018","67.11","-37.26","0.001","2018","1316.62","-33.40","10.35","2018"," 694.93 ","-44.41"," 5.46 "
400,"Jordan","2006","3066.00","...","0.512","2006","23136.00","...","3.86","2006","27752.00","...","4.63","2006","1,550.00","...","0.259","2006","116.00","...","19.36","2006"," 138.00 ","..."," 23.03 "
398,"Kazakhstan","2018","2313.31","-43.80","0.126","2018","319647.41","13.67","17.45","2018","396570.47","-1.32","21.65","2018","58.14","-2.38","0.003","2018","653.88","-8.36","35.69","2018"," 668.74 ","-35.94"," 36.50 "
404,"Kenya","2010","22185.66","...","0.528","2010","13888.30","...","0.33","2010","49964.09","...","1.19","2010","13,819.80","...","0.329","2010","178.00","...","4.24","2010"," 145.65 ","..."," 3.47 "
296,"Kiribati","2008","2.14","...","0.022","2008","63.78","...","0.65","2008","170.31","...","1.72","2008","104.39","...","1.057","1994","0.00","...","0.00",NA,NA,NA,NA
414,"Kuwait","2016","2002.08","...","0.506","2016","83921.36","...","21.21","2016","86336.98","...","21.82","2016","413.54","...","0.105","1994","113.00","...","68.10","1994"," 319.00 ","..."," 192.25 "
417,"Kyrgyzstan","2010","4711.27","-12.06","0.869","2010","6363.38","-69.01","1.17","2010","12773.96","-55.01","2.36","2010","1,699.30","-32.13","0.313","2010","31.66","-59.76","5.84","2010"," 30.56 ","-67.01"," 5.64 "
418,"Lao People's Democratic Republic","2000","5344.29","-16.68","1.004","2000","1052.19","153.59","0.20","2000","8898.18","29.59","1.67","2000","2,501.70","6,625.00","0.470","2000","7.87","88.28","1.48","2000"," 1.59 ","..."," 0.30 "
