CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
688,Serbia,6260,...,...,...,...,9070,7854.200195,11847,9674.099609,17812,10389,7937,9213,10553,11971,12845.27344,5909.07373,2036.099731,2495,6920,6471,9408,1854,1538,4298.432617,5576.205566,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,15937,11573,10691,10777,14148,12797,12841,12098,14136,14524,13080,13261,12225,6882,10097,12401,14900,9264,10146,10832,32511,7730,13866,19658,21307,11549,22890,18248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,19092,5320,5376.399902,3145.399902,8355.5,19867,21314.30078,14223.5,18654,18214.09961,17862,16282,15135,9175,21025,16528,12226,15713,23182,20523,21730,7756,17413,21430,25226,10661,18406,18649,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
710,South Africa,...,...,...,...,...,...,...,...,...,...,49040,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Spain,112580,74835,99319,101776,93679,73454,167414,144406,121889,59763,168178,62344,131378,121579,53713,84324,109676,68629,79753,170959,107482,80592,168275,63441,...,162392,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Sri Lanka,33178,...,...,...,...,35222,53254,40166,52491,16699,19798,23740,23753,57697,36372,59666,42788,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Sweden,181050,145530,174275,180275,147580,185336,115780,148380,227570,178170,244835,205387,150090,143102,179244,171211,179356,184753,195068,175514,174240,202844,218514,156068,169204,202894,149299,179741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Switzerland,33103,37184.5,37050.60156,40557.30078,49038.19922,46421,32701.40039,40048.10156,34760.30078,52819.69922,41455,52571,38739,36499,35425,33558,34371,39199,39834,37691,37493,31058,39153,45967,41535,40173,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,...,...,...,...,...,6906,...,...,...,5278,4626,4985,5993,8761,9060,7561,5879,5478,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Togo,15000,...,...,...,...,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,...,...,...,...,...,...,...,...,...,5780.220215,6565.203125,3085.25,5265.600098,-257.4200134,4278.957031,4067.836914,4353.100098,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
788,Tunisia,5782.399902,...,...,...,...,2807.800049,...,...,...,3795,2891,2196,2196,3961,4434,3058,3544,3669,2094,3379,2142,2904,3213.442627,1820.950806,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,United Kingdom of Great Britain and Northern Ireland,181609,154337.2031,173634.0938,172300.0938,193558.5,161386,125097,136418.4063,194457.2969,194116.7031,221578,158724,199367,114082,171584,150518,158918,155980,179875,153341,110990,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Venezuela (Bolivarian Republic of),672312,...,...,...,...,662312,560000,590000,540000,630000,562312,562312,582312,347543,562312,652312,432312,506619.6875,464435.0625,106773.5391,...,...,...,...,...,...,...,...,15,,,,,15,,,,,15,15,15,15,15,15,15,15,15,15,,,,,,,,
887,Yemen,2500,...,...,...,...,2500,...,...,...,...,2200,...,4000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Zambia,...,...,...,...,...,...,...,...,...,...,...,979.7000122,803.7999878,911.9000244,993,714.2999878,968.7000122,992.9000244,975.2999878,958.2999878,964.9000244,846.5,989.5,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,30756.58398,...,...,...,...,20606.07617,34476.30469,39691.78906,26382.46875,38323.95313,43470.55469,35849.05859,22916.13867,29989.02734,35047.05859,26028.20898,41118.66406,29443.58984,39176.1875,36133.69141,34889.60938,36675.66406,32719.77148,37841.76953,37123.41016,30825.46875,26682.60352,46954.10156,16,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
